id,medicament_id,medicament_interaction
23,11,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
24,11,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
25,11,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
26,11,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
27,11,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
28,12,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
29,12,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
30,12,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
31,12,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
32,12,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
33,13,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
34,13,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
35,13,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
36,13,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
37,13,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
38,14,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
39,14,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
40,14,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
41,14,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
42,14,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
43,15,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
44,15,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
45,15,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
46,15,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
47,15,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
48,16,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
49,16,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
50,16,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
51,16,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
52,16,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
53,17,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
54,17,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
55,17,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
56,17,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
57,17,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
58,18,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
59,18,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
60,18,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
61,18,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
62,18,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
63,19,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
64,19,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
65,19,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
66,19,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
67,19,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
68,20,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
69,20,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
70,20,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
71,20,les hypolipidémiants de la famille des fibrates.
72,20,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
73,20,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
74,21,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
75,21,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
76,21,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
77,21,les hypolipidémiants de la famille des fibrates.
78,21,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
79,21,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
80,22,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
81,22,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
82,22,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
83,22,les hypolipidémiants de la famille des fibrates.
84,22,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
85,22,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
86,23,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
87,23,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
88,23,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
89,23,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
90,23,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
91,24,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
92,24,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
93,24,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
94,24,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
95,24,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
96,26,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
97,26,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
98,26,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
99,26,les hypolipidémiants de la famille des fibrates.
100,26,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
101,26,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
102,27,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
103,27,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
104,27,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
105,27,les hypolipidémiants de la famille des fibrates.
106,27,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
107,27,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
108,28,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
109,28,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
110,28,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
111,28,les hypolipidémiants de la famille des fibrates.
112,28,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
113,28,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
114,29,Ce médicament ne doit pas être associé l'association glécaprévir/pibrentasvir (MAVIRET) utilisée dans le traitement de l'hépatite C : risque fortement accru de toxicité musculaire.
115,29,"les antibiotiques contenant de l'acide fusidique : si le traitement par acide fusidique est nécessaire, la prise d'atorvastatine doit être interrompue pendant toute la durée du traitement antibiotique et pendant les 7 jours qui suivent son arrêt ;"
116,29,"les inhibiteurs de protéase utilisés dans le VIH (ritonavir, lopinavir, saquinavir, darunavir, elbasvir, fosamprénavir, tipranavir) et les médicaments contenant l'une des substances suivantes : ciclosporine, daptomycine, clarithromycine, télithromycine, délavirdine, stiripentol, kétoconazole, voriconazole, itraconazole, posaconazole ;"
117,29,les hypolipidémiants de la famille des fibrates.
118,29,Les effets toxiques de l'atorvastatine peuvent également être augmentés par le jus de pamplemousse : évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
119,29,"Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux ou un médicament contenant de la rifampicine, de l'érythromycine, du diltiazem, de l'amlodipine, du vérapamil, de la digoxine ou de la colchicine."
120,30,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
121,30,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
122,31,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
123,31,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
124,32,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
125,32,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
126,33,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
127,33,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
128,34,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
129,34,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
130,35,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
131,35,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
132,36,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
133,36,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
134,37,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
135,37,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
136,38,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
137,38,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
138,39,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
139,39,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
140,40,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
141,40,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
142,41,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
143,41,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
144,42,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
145,42,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
146,43,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
147,43,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
148,50,"En cas d'utilisation de plusieurs collyres, respectez un intervalle de 15 minutes entre deux instillations."
149,51,Informez votre médecin de vos autres traitements en cours.
150,52,Informez votre médecin si vous prenez un anticoagulant oral ou un médicament contenant du méthotrexate ou du probénécide.
151,54,Les médicaments contenant des estrogènes peuvent diminuer l'effet de ce traitement.
152,54,Informez par ailleurs votre médecin si vous prenez un médicament contenant de la rifampicine.
153,55,Ce médicament ne doit pas être associé avec les médicaments contenant de l'aliskiren (qui ne sont plus commercialisés en France) chez le diabétique et l'insuffisant rénal ; l'association est déconseillée dans les autres cas.
154,55,Il peut interagir avec les diurétiques et les médicaments qui contiennent du potassium ou du lithium.
155,55,"Informez par ailleurs votre médecin si vous êtes traité par l'un ou l'autre de ces médicaments : un anticonvulsivant (carbamazépine, phénobarbital, phénytoïne, primidone), un antifongique (kétoconazole, itraconazole) un antibiotique (érythromycine, clarithromycine) ou un médicament contenant de la rifampicine, du vérapamil, du diltiazem, de la simvastatine, du tacrolimus ou du millepertuis."
156,55,"En outre, l'effet antihypertenseur de ce médicament peut être augmenté par certains médicaments tels que les neuroleptiques, les antidépresseurs imipraminiques, les alphabloquants utilisés dans les troubles prostatiques et les médicaments contenant du baclofène ; il peut être diminué par les corticoïdes et les AINS."
157,55,Le jus de pamplemousse peut également augmenter les effets de l'amlodipine. Évitez de consommer du pamplemousse (jus ou fruit) pendant le traitement.
158,58,Les médicaments contenant des estrogènes peuvent diminuer l'effet de ce traitement.
