id,medicament_id,indication
20,7,"Hypercholestérolémie, traitement de substitution (de l')"
21,7,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
22,8,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
23,8,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
24,8,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
25,8,Hypercholestérolémie familiale homozygote
26,8,"Hypercholestérolémie, traitement de 2e intention (de l')"
27,8,"Hypercholestérolémie, traitement de substitution (de l')"
28,8,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
29,9,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
30,9,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
31,9,"le traitement d'une maladie héréditaire rare (connue sous le nom de sitostérolémie) qui augmente le taux sanguin de stérols végétaux, des substances végétales proches du cholestérol ;"
32,9,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
33,9,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
34,9,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
35,9,"Hypercholestérolémie, traitement de 2e intention (de l')"
36,9,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
37,9,Sitostérolémie familiale homozygote
38,10,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétémibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet ainsi d'abaisser fortement le taux de cholestérol circulant dans le sang."
39,10,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
40,10,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
41,10,Hypercholestérolémie familiale homozygote
42,10,"Hypercholestérolémie, traitement de 2e intention (de l')"
43,10,"Hypercholestérolémie, traitement de substitution (de l')"
44,10,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
45,11,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
46,11,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
47,11,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
48,11,Hypercholestérolémie familiale homozygote
49,11,"Hypercholestérolémie, traitement de 2e intention (de l')"
50,11,"Hypercholestérolémie, traitement de substitution (de l')"
51,11,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
52,12,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
53,12,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
54,12,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
55,12,Hypercholestérolémie familiale homozygote
56,12,"Hypercholestérolémie, traitement de 2e intention (de l')"
57,12,"Hypercholestérolémie, traitement de substitution (de l')"
58,12,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
59,13,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
60,13,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
61,13,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
62,13,Hypercholestérolémie familiale homozygote
63,13,"Hypercholestérolémie, traitement de 2e intention (de l')"
64,13,"Hypercholestérolémie, traitement de substitution (de l')"
65,13,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
66,14,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
67,14,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
68,14,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
69,14,Hypercholestérolémie familiale homozygote
70,14,"Hypercholestérolémie, traitement de 2e intention (de l')"
71,14,"Hypercholestérolémie, traitement de substitution (de l')"
72,14,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
73,15,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
74,15,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
75,15,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
76,15,Hypercholestérolémie familiale homozygote
77,15,"Hypercholestérolémie, traitement de 2e intention (de l')"
78,15,"Hypercholestérolémie, traitement de substitution (de l')"
79,15,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
80,16,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
81,16,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
82,16,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
83,16,Hypercholestérolémie familiale homozygote
84,16,"Hypercholestérolémie, traitement de 2e intention (de l')"
85,16,"Hypercholestérolémie, traitement de substitution (de l')"
86,16,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
87,17,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
88,17,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
89,17,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
90,17,Hypercholestérolémie familiale homozygote
91,17,"Hypercholestérolémie, traitement de 2e intention (de l')"
92,17,"Hypercholestérolémie, traitement de substitution (de l')"
93,17,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
94,18,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
95,18,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
96,18,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
97,18,Hypercholestérolémie familiale homozygote
98,18,"Hypercholestérolémie, traitement de 2e intention (de l')"
99,18,"Hypercholestérolémie, traitement de substitution (de l')"
100,18,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
101,19,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
102,19,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
103,19,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
104,19,Hypercholestérolémie familiale homozygote
105,19,"Hypercholestérolémie, traitement de 2e intention (de l')"
106,19,"Hypercholestérolémie, traitement de substitution (de l')"
107,19,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
108,20,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
109,20,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
110,20,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
111,20,Hypercholestérolémie familiale homozygote
112,20,"Hypercholestérolémie, traitement de 2e intention (de l')"
113,20,"Hypercholestérolémie, traitement de substitution (de l')"
114,20,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
115,20,"Hyperlipidémie mixte, traitement de substitution (de l')"
116,20,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
117,21,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
118,21,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
119,21,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
120,21,Hypercholestérolémie familiale homozygote
121,21,"Hypercholestérolémie, traitement de 2e intention (de l')"
122,21,"Hypercholestérolémie, traitement de substitution (de l')"
123,21,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
124,21,"Hyperlipidémie mixte, traitement de substitution (de l')"
125,21,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
126,22,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
127,22,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
128,22,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
129,22,Hypercholestérolémie familiale homozygote
130,22,"Hypercholestérolémie, traitement de 2e intention (de l')"
131,22,"Hypercholestérolémie, traitement de substitution (de l')"
132,22,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
133,22,"Hyperlipidémie mixte, traitement de substitution (de l')"
134,22,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
135,23,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
136,23,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
137,23,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
138,23,Hypercholestérolémie familiale homozygote
139,23,"Hypercholestérolémie, traitement de 2e intention (de l')"
140,23,"Hypercholestérolémie, traitement de substitution (de l')"
141,23,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
142,24,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
143,24,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
144,24,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
145,24,Hypercholestérolémie familiale homozygote
146,24,"Hypercholestérolémie, traitement de 2e intention (de l')"
147,24,"Hypercholestérolémie, traitement de substitution (de l')"
148,24,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
149,25,Hypercholestérolémie familiale homozygote
150,25,"Hypercholestérolémie, traitement de 2e intention (de l')"
151,25,"Hypercholestérolémie, traitement de substitution (de l')"
152,25,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
153,25,"Hyperlipidémie mixte, traitement de substitution (de l')"
154,25,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
155,26,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
156,26,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
157,26,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
158,26,Hypercholestérolémie familiale homozygote
159,26,"Hypercholestérolémie, traitement de 2e intention (de l')"
160,26,"Hypercholestérolémie, traitement de substitution (de l')"
161,26,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
162,26,"Hyperlipidémie mixte, traitement de substitution (de l')"
163,26,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
164,27,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
165,27,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
166,27,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
167,27,Hypercholestérolémie familiale homozygote
168,27,"Hypercholestérolémie, traitement de 2e intention (de l')"
169,27,"Hypercholestérolémie, traitement de substitution (de l')"
170,27,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
171,27,"Hyperlipidémie mixte, traitement de substitution (de l')"
172,27,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
173,28,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
174,28,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
175,28,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
176,28,Hypercholestérolémie familiale homozygote
177,28,"Hypercholestérolémie, traitement de 2e intention (de l')"
178,28,"Hypercholestérolémie, traitement de substitution (de l')"
179,28,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
180,28,"Hyperlipidémie mixte, traitement de substitution (de l')"
181,28,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
182,29,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et l'atorvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
183,29,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu,"
184,29,la prévention des évènements cardiovasculaires en cas de maladie coronarienne grave.
185,29,Hypercholestérolémie familiale homozygote
186,29,"Hypercholestérolémie, traitement de 2e intention (de l')"
187,29,"Hypercholestérolémie, traitement de substitution (de l')"
188,29,"Hyperlipidémie mixte, traitement de 2e intention (de l')"
189,29,"Hyperlipidémie mixte, traitement de substitution (de l')"
190,29,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
191,30,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
192,30,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
193,30,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
194,30,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
195,30,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
196,30,"Hypercholestérolémie, traitement de 2e intention (de l')"
197,30,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
198,31,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
199,31,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
200,31,"le traitement d'une maladie héréditaire rare (connue sous le nom de sitostérolémie) qui augmente le taux sanguin de stérols végétaux, des substances végétales proches du cholestérol ;"
201,31,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
202,31,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
203,31,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
204,31,"Hypercholestérolémie, traitement de 2e intention (de l')"
205,31,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
206,31,Sitostérolémie familiale homozygote
207,32,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
208,32,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
209,32,"le traitement d'une maladie héréditaire rare (connue sous le nom de sitostérolémie) qui augmente le taux sanguin de stérols végétaux, des substances végétales proches du cholestérol ;"
210,32,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
211,32,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
212,32,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
213,32,"Hypercholestérolémie, traitement de 2e intention (de l')"
214,32,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
215,32,Sitostérolémie familiale homozygote
216,33,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
217,33,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
218,33,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
219,33,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
220,33,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
221,33,"Hypercholestérolémie, traitement de 2e intention (de l')"
222,33,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
223,34,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
224,34,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
225,34,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
226,34,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
227,34,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
228,34,"Hypercholestérolémie, traitement de 2e intention (de l')"
229,34,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
230,34,Sitostérolémie familiale homozygote
231,35,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
232,35,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
233,35,"le traitement d'une maladie héréditaire rare (connue sous le nom de sitostérolémie) qui augmente le taux sanguin de stérols végétaux, des substances végétales proches du cholestérol ;"
234,35,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
235,35,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
236,35,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
237,35,"Hypercholestérolémie, traitement de 2e intention (de l')"
238,35,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
239,35,Sitostérolémie familiale homozygote
240,36,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
241,36,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
242,36,"le traitement d'une maladie héréditaire rare (connue sous le nom de sitostérolémie) qui augmente le taux sanguin de stérols végétaux, des substances végétales proches du cholestérol ;"
243,36,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
244,36,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
245,36,"Hypercholestérolémie, traitement associé de 2e intention (de l')"
246,36,"Hypercholestérolémie, traitement de 2e intention (de l')"
247,36,"Prévention d'évènement cardiovasculaire chez le patient à risque, traitement associé (de la)"
248,36,Sitostérolémie familiale homozygote
249,37,Ce médicament est un hypocholestérolémiant. Il diminue l'absorption du cholestérol dans l'intestin et permet ainsi d'abaisser le taux de cholestérol circulant dans le sang.
250,37,"le traitement des excès de cholestérol, seul ou en association avec un hypolipidémiant de la famille des statines ;"
251,37,"le traitement d'une maladie héréditaire rare (connue sous le nom de sitostérolémie) qui augmente le taux sanguin de stérols végétaux, des substances végétales proches du cholestérol ;"
252,37,"dans la prévention des accidents cardiovasculaires en cas d'antécédent de syndrome coronarien aigu, en complément d'un traitement par statine."
253,37,"Hypercholestérolémie familiale homozygote, traitement associé (de l')"
